COMPANY,CEO,TOWN,HQ,Field,email,phone
AWEP (African Women Entrepreneurship Program), Madame Caroline SACK KENDEM (Présidente), DOUALA," Bonapriso, Collège des Nations", Association de promotion de l'entreprenariat féminin," info@awepcameroon.org, vansteph04@yahoo.fr", 233 42 31 59 / 233 42 62 71 / 233 42 67 72
AXA ASSURANCES CAMEROUN, Monsieur Thierry KEPEDEN(Directeur général), DOUALA," AKWA, derière galerie perissac", Assurances, axa.cameroun@axa.cm, 233 42 88 88/ 233 43 62 05
B&C (BRAND & CONSUMERS), Monsieur Gabriel  KOUENI(Directeur Général), DOUALA, Bonapriso, Agence conseil en communication et marketing," care@brandandconsumers.com, codi@brandandconsumers.com", 233421066
BANQUE ATLANTIQUE CAMEROUN, M. Daniel TOURE (D.G), DOUALA," Akwa, boulevard de la liberté", Banque, contact_cemac@bat.com, 233 42 16 52/ 233 42 16 39
BAT CAMEROUN, Monsieur OKECHUKWU AGUORU (Directeur général), DOUALA," Bonapriso, à côté FEICOM", Importation et distribution de tabac, battransit@camnet.cm, 233 42 61 55/233 43 28 03
BAT TRANSIT AND SERVICE Cie, Monsieur Jean Blaise DJOUOKOU(Président Directeur général), YAOUNDE," Akwa, carrefour anatole, au niveau du drain"," Transit, transport, formation et services divers", b_beyokol@hotmail.com, 222 20 79 55/ 699 68 34 44
BB VISION, Monsieur BEYOKOL Bernard(Président Directeur général), DOUALA," Yaoundé, Nouvelle route Omnisport. Douala, Akwa, 2 églises, face Guarantee Express"," Conseil en management vision strategique, coaching, pilotage des affaires, formation, encadrement, marketing et finance, audit système d'information et de management, support de comprehension des TIC"," beneficial@groupbeneficial.com, bli@beneficial.com", 233 42 23 07 / 233 42 23 08 / 233 42 23 44/233 42 86 77/33 42 77 54
BENEFICIAL LIFE INSURANCE S.A, Monsieur Eddie F. BROWN(Directeur général adjoint), DOUALA," Akwa, Mobil bonakouamouang", Assurances, beryo.international01@yahoo.fr, 233 43 27 63
BERYO International, Monsieur Bernard YOSSA(Directeur général), DOUALA," Akwa, 22 Rue Foch", services d'assainissement, contactbgfi@bgfi.com, 233 42 64 64
BGFI BANK CAMEROUN, Monsieur ABAKAL MAHAMAT (Directeur Général), DOUALA, Bonanjo, Banque et Finance, info.cmr@biagroup.com, 233 39 76 20/ 233 39 76 21
BIA Cameroun S.A., M. Thomas CRABETT (Directeur Général), DOUALA," Bassa, ndokoti, face Saker", Distribution Véhicules Utilitaires Automobiles, bicec@bicec.com, 233 42 88 43 / 233 42 84 27 / 233 42 85 76
BICEC, Monsieur ROCHDI SANHAJI (Directeur général), DOUALA, Bonanjo," Services bancaires, opérations de banque et finances", biotropical@biotropical.com, 233 39 32 96
BIOTROPICAL, Monsieur Ludovic MINOUE(Directeur général), DOUALA," Bonabéri, ancienne route (Point franc)"," AGRICULTURE, Agro-Industrie"," blessingpetro@blessingpetroleum.net, amedee.tchanpga@blessingpetroleum.net", 233 405271
BLESSING PETROLEUM SA, Madame Hélène NGO MBUS DENGOUE (Directeur général)   DENGOUE FANSI Paul F (PCA), DOUALA," AKWA, IMMEUBLE TMC, avant Hôtel le Ndé", Distribution des produits pétroliers, bocominter2002@yahoo.fr, 233 43 48 44 /233 39 16 16/696 63 00 43
BOCOM INTERNATIONAL, Monsieur Dieudonné BOUGNE(Gérant), DOUALA," Akwa, (DG) avant pharmacie des hopitaux; Bonaberi (dir tech),", Traitement et incinération des déchets divers, bollore.africa-logistics.cm@bollore.com, 233 50 12 12
BOLLORE TRANSPORTS & LOGISTICS CAMEROUN, Monsieur DIOP MOHAMED (Directeur Général), DOUALA, Bonanjo," Transit, transport, logistique, manutention, consignation, agence de voyage, entreposage, courrier et colis express"," bps_sarl11@yahoo.fr, commercial.bpsgroup@gmail.com"," 233 43 69 70, 233 42 85 51"
BOLUDA Cameroun, Monsieur Hervé LEFEVRE (D.G), DOUALA," Bonanjo, Av De Gaule, face CRTV, 1er étage Im à carreaux blanc",  Remorquage et sauvetage maritimes, contact@brainconsulting-bc.com, 243 60 50 00
BPS (BUSINESS & PARTNERS SERVICES SARL), Monsieur TCHOUALANG TCHUISSI Guy Gaetan 'Président), DOUALA, Akwa," Monétique, Bureautique, Informatique", bettina@buetec-broderie.com, 696420201
BRAIN CONSULTING, Monsieur Henri MOUTALEN MOUTASSI (Associé Gérant), DOUALA," Bonanjo, Tour du Wouri, à côté BEAC", Conseils Juridiques et fiscaux, societe.buns@yahoo.com, 699 50 40 12/233 43 39 36/233 43 70 19
BUETEC BRODERIE SARL, Madame Bettina Guemto-MICHAELIS(Gérant), YAOUNDE," Akwa, carrefour Emilie Saker"," production tee-shirts+polos, broderie industrielle, sérigraphie, confection tenues de travail, sacs, porte-documents, sacoches, casquettes", cabinet.bg@gmail.com, 222315275
BUNS (SOCIETE BUNS), Monsieur Eric NJONG(Directeur général), YAOUNDE," Yaoundé, Mvog Betsi", Travaux routiers, contact.cmr@bureauveritas.com, 242090300
BUREAU DE GESTION, Monsieur Jean-Claude EBE-EVINA (Directeur Général), DOUALA," Bastos, derrière Laboratoire MEKA", Expertise et Ingénierie Finanicère, ol_behle@yahoo.fr, 699 50 31 04
BUREAU VERITAS DOUALA, Monsieur Mathieu GRATINI  (Directeur Général), DOUALA,"  Zone portuaire sud, messapresse", Bureau de contrôle Technique, cabinet@cabinetnyemb.com, 233 42 44 86 / 233 42 44 88
CABINET BEHLE ET ASSOCIES, Monsieur Olivier BEHLE(Directeur général), DOUALA, Akwa," Cabinet conseil en droit des sociétés, droit fiscal, droit social"," sa2_ousmanou@hotmail.com, ousman_z@cadev-afrique.org, cadev@cadev-afrique.org", 233433923; 233434141
CABINET NYEMB, Maître Jacques  Jonathan NYEMB (Directeur Général), YAOUNDE," Bonanjo, 227, Rue Hotel de ville", Cabinet d'Avocats, info@camair-co.net, 242 094552
CADEV (CENTRE AFRICAIN POUR LE DROIT ET LE DEVELOPPEMENT), Monsieur Sadjo OUSMANOU (Président), DOUALA," TSINGA, face entré second Palais congrès", Prestations de services juridiques, ldemez@cfao.com, 233505555/233505556
CAMAIR-CO SA, Monsieur Louis Georges NJIPENDI KOUOTOU (Directeur Général), DOUALA," Akwa, Immeuble la Rotonde", Transport aérien," Ldemez@cfao.com, aferrer@cfao.com", 699 36 58 17
CAMDA (Camerounaise de Distribution Alimentaire, Monsieur Luc DEMEZ(Directeur général), DOUALA," Bonanjo, Vallée des Ministres", Commerce général, boumdago@yahoo.fr, 663 14 53 95 / 661 30  27 35
CAMDA (Camerounaise de Distribution Alimentaire), Monsieur Luc DEMEZ (Directeur Général), Douala," Bali,  Rue des manguiers Batiment l'Elisabeth", Commerce Général, contact1@cas-assistance.com, 233 42 14 14/ 233 42 15 15
CAMEROON TEA ESTATES (CTE), M. Baba Ahmadou Danpullo (PCA) – M. Dagobert Boumal (DG)(), DOUALA, Bassa - Ndogsimbi, Production et transformation de thé, cacinternational@cac-international.com, 233 43 01 76; 699 80 01 51
CAMEROUN ASSISTANCE SANITAIRE, Monsieur Néjib SOUSSIA(Directeur général), DOUALA, Bali 493 Rue Koumassi-Bali," Assistance sanitaire aux entreprises et aux particuliers -, évacuations sanitaires et organisation des soins au Cameroun et à l'étranger", eugolini@cfao.com; cami@cfao.com, 233 39 80 56 / 233 39 76 55 / 233 39 06 96 / 233 39 77 74 / 677 11 24 19 / 699 68 32 59
CAMEROUN AUDIT CONSEIL," Monsieur Jérôme  MINLEND (Président directeur général), Coretta MINLEND(Secrétaire générale)", DOUALA," Bonanjo, 6ème étage Tour CNPS"," Audit, Commissariat aux comptes, Conseil Juridique et fiscal, Assistance aux PME - Conseil en Organisation", rkamga@camlait.com; pltoukam@camlait.com; gbfotso@camlait.cm;, 233 37 44 60 / 233 37 28 05
CAMI TOYOTA, M.Pascal Louchelart(Directeur général), DOUALA," Bonabéri, zone industrielle", Concessionnaire automobiles  - Pneus - Motos - Otis - Motorola - Téléphone, courrier@camrail.net, 233 50 26 00/ 233 50 26 02
CAMLAIT, Monsieur Paulin Landry TOUKAM ZUKO(Président directeur général), DOUALA, Bassa Dogbong," Production et distribution de yaourt, lait instantané, margarine,spécialité au soja", info@camtechgroup.net," 243671434, 693297344"
CAMRAIL, Monsieur Pascal MINY (PCA) / Monsieur Jean-Pierre MOREL (Directeur général)(), YAOUNDE, Bessengué, Transport ferroviaire, sales@camtrack.net, 233 43 76 14
CAMTECH Sarl, Monsieur François Xavier AMOUGOU (Directeur Général), DOUALA, Mbog-Abang," Services Télécom, informatique, électricité", canalplus.cameroun@canal-plus.com," 233429684, 690718044"
CAMTRACK, Monsieur Hilaire TINEN(Directeur général), DOUALA," Bonapriso, dépôt guiness"," Gestion de flotte (GPS), Systèmes d'alarmes, Contrôle d'accès et gestion de temps, vidéo surveillance, télécoms"," sarah.bakanesimo@diageo.com, rmfondja@sabc-cm.com", 233 50 33 33 / Service client 8556
CAMWATER, Monsieur Gervais BOLENGA (D.G), DOUALA, Koumassi," Production, transport, distribution, et commercialisation d'eau potable", ag@capicameroun.com," 676941113, 695011584"
CANAL + CAMEROUN, Monsieur Paul TAMBA ZAPO  (Directeur Général), DOUALA," Bonanjo, voirie municipale,immeuble Grassfields", Télécommunications, cb-cameroun@groupecommercialbank.com, 233 42 42 89
CAPA (Cameroon Alcohol Producers Association),  Monsieur ANDREW ROSS (Président), Douala, Rue Vasnitex - Bonapriso, Association des opérateurs des boissons alcoolisés, cca@afrigroupe.com /  cca@cca-bank.com, 233 42 02 02
CAPI CAMEROUN, M. Ephreim Tchakounte (PDG)(), DOUALA, Bonanjo, Pesage industriel, info@cdc-cameroon.com, 222 22 13 87 / 222 23 89 08
CBC (Commercial Bank of Cameroon), Monsieur Léandre DJUMMO(Directeur général), YAOUNDE," Boulevard Rudolph Manga Bell, Mokolo", Services bancaires, cecotram2002@yahoo.fr, 233 33 22 51/677 72 10 49
CCA-Bank S.A (Crédit Communautaire d'Afrique - Bank S.A), Monsieur André Alexis MEGUDJOU (DG), DOUALA, Bota, Banque, info@cenainvest.com; danielle.fouda@cenainvest.com," 233430454, 222305411"
CDC (Cameroon Development Corporation), Monsieur Francklin NJIE NGONI(Directeur général), DOUALA," AKWA, Immeuble Decage", Agro-Industrie, cse_97@yahoo.fr/ csemosenjebayi@yahoo.fr, 222 23 32 95/677 93 60 67
CECOTRAM Sarl, Monsieur Jean-Pierre ENDOBO (Directeur Général), YAOUNDE," Yaoundé, Avenue des banques,immeuble banque atlantique", Commerce Général, technologies@cfao.com, 233 43 33 64 / 233 15 78 18/ 699 91 11 39
CENTRAL AFRICA INVESTMENT S.A. (CENAINVEST S.A.), Monsieur Albert Florent BENGALA(Directeur général), DOUALA, Rue NJO NJO Bonapriso, Capital Investissement/Advisory Services/Marchés Financiers, centredegestionagreecopme@gmail.com / alain.coutchang@yahoo.fr, 233 43 43 86 / 233 42 91 42 / 233 42 01 48 / 233 43 41 37 / 33 43 41 38
CENTRE SERVICES EXPRESS, Monsieur Moselly NJEBAYI(Directeur général), DOUALA, Akwa," Prestation de services, transit, logistique, négoce", cgmaudit@yahoo.fr, 242020567 / 679539393
CFAO TECHNOLOGIES, Monsieur   Joêl ROUX(Directeur général), DOUALA, Yaoundé," Conception, réalisation et commercialisation des logiciels, ordinateurs, services et conseils", chanas@chanasassurances.com; mouloki@chanasassurances.com, 233 43 95 98/ 233 02 27 42
CGA CoPME (Centre de Gestion Agrée - Confédération des Petites et Moyennes Entreprises), Monsieur Alain BOUTCHANG (Président exécutif ), DOUALA," Akwa, immeuble socar"," Accompagnement des PME, Aide au développement dans le domaine de la gestion"," chococam@chococam.net; calixte.mbella@chococam.net, contact.chococam@tigerbrands.com", 233 42 14 74
CGM/ G.K.M AUDIT et CONSEIL, Monsieur Joseph TCHOUBET(Directeur général), DOUALA," Bonanjo,"," Expertise comptable; commissariat aux comptes; audit financier  et operationnel; système d'information et organisation informatique, Conseil et Gestion", info@pallisco-cifm.com, 233 37 66 80 / 233 37 60 61/233 37 29 03
CHANAS ASSURANCES S.A., Monsieur Aloys Abanda Abanda(Directeur général), DOUALA," Bassa, à coté UCB", Compagnie d'Assurances, youssef.maddoun@cimentsafrique.com, 233 42 54 16/ 233 43 36 98/699 68 14 21/ 677 70 74 17
"CHOCOCAM (Chocolaterie, Confiserie du Cameroun)", Monsieur NDIAYE MOUHAMADOU(Directeur général), DOUALA," Bonanjo, 478, avenue des cocotiers, après consulat France", Production de chocolat et Confiserie, contact@cimencam.lafarge.com; nathalie.bayo@lafarge.com;, 233890080
CIFM- PALLISCO, Monsieur Paul LAGOUTE (Directeur Général), DOUALA," Bonabéri, Zone industrielle", Exploitation forestiere; scierie; raboterie, yinilah.ndahne@citigroup.com, 233 39 74 37 / 233 39 11 19 / 233 39 03 20 / 233 39 11 94
CIMAF (Ciments de l'Afrique Cameroun), Monsieur Arnous ABDELADIM (Directeur Général), DOUALA, Bonabéri, FABRICATION ET COMMERCIALISATION DU CIMENT, commercial@clgg-cm.com; agencies@clgg-cm.com, 233 42 35 12 / 233 42 42 72
CIMENCAM (Cimenteries du Cameroun), Monsieur Benoît GALICHET (Directeur général), DOUALA, Bonanjo, FABRICATION ET COMMERCIALISATION DU CIMENT, dlo.agency@cma-cgm.com, 233 42 20 14 / 233 42 19 27 /233 42 19 31 / 233 42 90 63
CITIBANK OF CAMEROON, Monsieur Gordon ACHA (Directeur général), DOUALA," Bonanjo, Centre des affaires maritimes", Services bancaires, info@cncc.cm, 233424965
CLGG (Consignation et Logistique du Golfe de Guinée), Monsieur Bernard André NDENGUE(Directeur général), DOUALA, Zone des professions maritimes," Transport maritime, affrêtement, consignation, transit, manutention, remorquage portuaire, dragage, agence de voyage", CNIC@cnicyard.com ;  enquiries@CNICyard.com, 233 43 67 67
CMA CGM CAMEROUN, Thibaut De Lardemelle (D.G), DOUALA," Bonanjo, mmeuble camship", Consignataire de navires, coface_westafrica@coface.com, 233 40 15 60 / 233 40 34 88 / 233 40 47 71
CNCC (Conseil National des Chargeurs du Cameroun ), Monsieur Auguste MBAPPE PENDA(Directeur général), YAOUNDE," Bonanjo, Base Elf", Conseil et Assistance aux Chargeurs, cogenicam@cogenicam.com, 233 42 51 53
CNIC (Chantier Naval et Industriel du Cameroun S.A.), Monsieur Alfred FORGWEI MBENG(Directeur général), DOUALA," Bonanjo, à côté ONCPB, immeuble IBAN, 4e étage"," Réparation navale, agence en consignation, travaux pétroliers Onshore/Offshore, réhabilitation des plateformes pétrolières", Ghislaine_likeng@colpal.com; emmanuel_sikonte@colpal.com, 233 42 47 03
CNPS, Monsieur Noël Alain MEKOULOU MVONDO  AKAME (Directeur Général), DOUALA, Akwa-Camp Yabassi-Face Station MRS, Prévoyance et sécurité sociale," richard_fowang@colpal.com, paul_baki_baki@colpal.com", 233 50 10 00
COFACE WEST AFRICA (Compagnie Française d'Assurance pour le Commerce Extérieur), Monsieur Carmine MANDOLA (Directeur des Opérations Afrique et Moyen Orient), DOUALA," Akwa, Immeuble Activa", Assurance et commerce extériueure, cometal@tafinvestment.com, 233 50 10 00
COGENI CAMEROUN SARL, Monsieur André OUAMBO(Président), DOUALA," Akwa, Immeuble Activa", Commerce général -Import - Export, secretariat@cinpharm.net, 233 39 18 56
COLGATE PALMOLIVE CAMEROUN, Monsieur Davis KANYAMA(Directeur général), DOUALA," Bonabéri, Zone industriellle", Vente des produits de consommation, info@cfpcsl.com, 233  47 29 66
COLGATE PALMOLIVE CAMEROUN, Monsieur Richard FOWANG (DG), Douala, Makepe, Vente des produits de consommation, info@cfpcsl.com, 233 41 90 57
COMETAL," M. Stanislas Kouala (Directeur général), M. Olivier Fotso (Directeur général adjoint)()", DOUALA," Ndogbong, Derrière Camlait"," Construction metallique, maintenance industrielle et petrolière, maintenance gazière et minière, conception et fabrication des charpentes, bacs, cuves, fabrication des équipements roulants (semi-remorques, bennes, grumiers, porte-engins, citernes)", ghtchente@conseilsfiscauxassocies.com ; ghtchente@yahoo.fr, 233 41 90 57
COMPAGNIE INDUSTRIELLE PHARMACEUTIQUE (CINPHARM), M. Célestin Tawamba (PCA) - Mme. Sara Masmoudi  (DG)(), DOUALA," Ndogbong, Derrière Camlait", Fabrication de médicaments, cpasiege@yahoo.fr, 233 42 70 15
CONSEILS ET SUIVIS LOGISTIQUES, Monsieur Guy Roméo NGANGNANG (DG), DOUALA," Bonanjo, face Radio", Formation professionnelle des conducteurs en engins lourds, creative.sarl@yahoo.fr; marc.djoumessi@creativesarl.net;, (237) 2 33 50 28 00
CONSEILS ET SUIVIS LOGISTIQUES, Monsieur Guy Roméo NGANGNANG (DG), DOUALA, 164 Rue Toyota (Rue 1.239) Bonapriso, Formation professionnelle des conducteurs en engins lourds," ecpc@creditpopulairecm.com,  dgecpc@creditpopulairecm.com, president@creditpopulairecm.com, mediesse_emilie@creditpopulairecm.com", 233 43 43 81 / 233 43 43 82
CONSEILS FISCAUX ASSOCIES, Monsieur Guy Honoré TCHENTE(Directeur général), DOUALA," Akwa,  Face Parfait garden", Conseils fiscaux, info@croplife-cm.org, 233 42 70 30
COTCO S.A. (Cameroon Oil Transportation Company), Monsieur Johnny MALEC(Directeur général), DOUALA," Akwa, Face direction orange"," Construction, exploitation et entretien du pipeline Tchad-Cameroun", gab.sotexcam@yahoo.com, 699 00 04 81
CPA (COMPAGNIE PROFESSIONNELLE D'ASSURANCE DU CAMEROUN), Monsieur Raphaël FUTE(Président directeur général), DOUALA," Rue Mermoz (Akwa), Derrière immeuble BGFI", Assurances, accounting.secretary@ctccm.com, 233 39 23 74
CREATIVE SARL, Monsieur Marc DJOUMESSI(Directeur général), DOUALA," Bonabéri, locaux Fimex", Vente de matériel Informatique, camwomen2015@gmail.com, 233 37 00 26/ 233 22 05 91
